key,value,date
heat,1,2/10/2014
drought,0.745134965,2/10/2014
videographer,0.348399247,2/10/2014
River,0.305084746,2/10/2014
protest,0.278405524,2/10/2014
death,0.23477715,2/10/2014
manifestant,0.208411802,2/10/2014
Brazil,0.168863779,2/10/2014
band,0.145951036,2/10/2014
Santiago,0.14344005,2/10/2014
Roj,0.130571249,2/10/2014
feel,0.127432517,2/10/2014
day,0.113622097,2/10/2014
good,0.112366604,2/10/2014
Andrade,0.109855618,2/10/2014
die,0.107658506,2/10/2014
time,0.100125549,2/10/2014
sleep,0.094475832,2/10/2014
take,0.088826114,2/10/2014
To want,0.08443189,2/10/2014
get,0.08443189,2/10/2014
the brain,0.082862524,2/10/2014
say,0.08254865,2/10/2014
people,0.081920904,2/10/2014
view,0.080665411,2/10/2014
Vel,0.079723792,2/10/2014
person,0.076271186,2/10/2014
To give,0.075329567,2/10/2014
stay,0.073760201,2/10/2014
hit,0.070621469,2/10/2014
cold,0.069679849,2/10/2014
precedence,0.068424357,2/10/2014
know,0.068424357,2/10/2014
January,0.065913371,2/10/2014
sit,0.064030132,2/10/2014
prune,0.063402385,2/10/2014
CLA,0.063088512,2/10/2014
love,0.063088512,2/10/2014
strike,0.058066541,2/10/2014
reach,0.055869429,2/10/2014
Storm,0.054300063,2/10/2014
Lia,0.049278092,2/10/2014
pass,0.048650345,2/10/2014
life,0.048022599,2/10/2014
Black,0.047708726,2/10/2014
kill,0.047394852,2/10/2014
front,0.047080979,2/10/2014
fam,0.046453233,2/10/2014
Pol,0.04519774,2/10/2014
To find,0.043942247,2/10/2014
come,0.043628374,2/10/2014
like,0.042059008,2/10/2014
Let,0.041431262,2/10/2014
night,0.039861896,2/10/2014
urgent,0.038920276,2/10/2014
need,0.03829253,2/10/2014
injured,0.037664783,2/10/2014
bloc,0.03735091,2/10/2014
see,0.035781544,2/10/2014
vocenaosabiaq,0.035781544,2/10/2014
signosfodas,0.034839925,2/10/2014
thing,0.034839925,2/10/2014
gave,0.034526051,2/10/2014
duty,0.034212178,2/10/2014
House,0.034212178,2/10/2014
Finish,0.033270559,2/10/2014
eats,0.032956685,2/10/2014
World,0.032328939,2/10/2014
leave,0.031701193,2/10/2014
Guy,0.03138732,2/10/2014
talk,0.03138732,2/10/2014
Street,0.030759573,2/10/2014
globe,0.0304457,2/10/2014
year,0.0304457,2/10/2014
dead,0.029817954,2/10/2014
power,0.029817954,2/10/2014
Hell,0.029817954,2/10/2014
new,0.029190207,2/10/2014
brain,0.028562461,2/10/2014
journalist,0.028562461,2/10/2014
bath,0.028562461,2/10/2014
cry,0.027934714,2/10/2014
Paul,0.027934714,2/10/2014
cameraman,0.027620841,2/10/2014
uol,0.027620841,2/10/2014
Mina,0.027620841,2/10/2014
week,0.026993095,2/10/2014
viol,0.026993095,2/10/2014
rain,0.026993095,2/10/2014
friend,0.026365348,2/10/2014
corruptusday,0.026051475,2/10/2014
Sun,0.026051475,2/10/2014
class,0.025423729,2/10/2014
flat-screen tv,0.025109856,2/10/2014
find,0.024795982,2/10/2014
hair,0.024482109,2/10/2014
feeling,0.024482109,2/10/2014
woman,0.024482109,2/10/2014
receive,0.024168236,2/10/2014
Entar,0.024168236,2/10/2014
great,0.023854363,2/10/2014
Word,0.02354049,2/10/2014
bus,0.02354049,2/10/2014
drink,0.02354049,2/10/2014
fair,0.023226616,2/10/2014
party,0.023226616,2/10/2014
Sea,0.022912743,2/10/2014
DIO,0.022912743,2/10/2014
sheet,0.02259887,2/10/2014
school,0.021971124,2/10/2014
RIA,0.021971124,2/10/2014
violent,0.02165725,2/10/2014
back,0.02165725,2/10/2014
Dear,0.021029504,2/10/2014
Act,0.021029504,2/10/2014
psol,0.020401758,2/10/2014
explosive,0.020087884,2/10/2014
use,0.020087884,2/10/2014
call,0.020087884,2/10/2014
TRUE,0.020087884,2/10/2014
Open,0.019460138,2/10/2014
bad,0.019146265,2/10/2014
network,0.019146265,2/10/2014
CIL,0.019146265,2/10/2014
Wake up,0.019146265,2/10/2014
Ash,0.019146265,2/10/2014
confirm,0.018832392,2/10/2014
SIL,0.018832392,2/10/2014
ask,0.018832392,2/10/2014
apprec,0.018832392,2/10/2014
partner,0.018832392,2/10/2014
military,0.018204645,2/10/2014
Enter,0.017890772,2/10/2014
Brazilian,0.017890772,2/10/2014
colleague,0.017576899,2/10/2014
editorial,0.017576899,2/10/2014
right,0.017263026,2/10/2014
reports,0.016949153,2/10/2014
Press,0.016949153,2/10/2014
continue,0.016321406,2/10/2014
cause,0.016321406,2/10/2014
sad,0.016321406,2/10/2014
Beach,0.016321406,2/10/2014
peace,0.016321406,2/10/2014
Dilma,0.016007533,2/10/2014
second,0.016007533,2/10/2014
man,0.016007533,2/10/2014
eat,0.01569366,2/10/2014
fall in love,0.01569366,2/10/2014
play,0.01569366,2/10/2014
beautiful,0.015379787,2/10/2014
heat,1,2/11/2014
drought,0.774555999,2/11/2014
River,0.175063429,2/11/2014
protest,0.168901776,2/11/2014
Brazil,0.153678869,2/11/2014
manifestant,0.147517216,2/11/2014
feel,0.142442914,2/11/2014
day,0.104385647,2/11/2014
cold,0.093512142,2/11/2014
time,0.085175788,2/11/2014
good,0.074302283,2/11/2014
get,0.072490033,2/11/2014
view,0.071765132,2/11/2014
To want,0.071402682,2/11/2014
know,0.070677782,2/11/2014
stay,0.069227981,2/11/2014
To give,0.068865531,2/11/2014
love,0.062341428,2/11/2014
Adriano,0.061616528,2/11/2014
person,0.059079377,2/11/2014
new,0.058716926,2/11/2014
take,0.058354476,2/11/2014
strike,0.054367524,2/11/2014
Hurricane,0.053642624,2/11/2014
videographer,0.051105473,2/11/2014
life,0.051105473,2/11/2014
Storm,0.050743023,2/11/2014
people,0.050380573,2/11/2014
Vel,0.048568322,2/11/2014
