key,value,date
CNTE,0.376637797,9/12/2013
master,0.311681101,9/12/2013
reform,0.22407284,9/12/2013
March,0.218409949,9/12/2013
manifestant,0.161225849,9/12/2013
protest,0.124583611,9/12/2013
Xico,0.114035088,9/12/2013
educational,0.100377526,9/12/2013
Calo,0.08194537,9/12/2013
Veracruz,0.0739507,9/12/2013
estamoshartoscnte,0.071952032,9/12/2013
SEGOB,0.068398845,9/12/2013
Deputy,0.067954697,9/12/2013
Polic,0.059960027,9/12/2013
Storm,0.057406174,9/12/2013
block,0.052076394,9/12/2013
lock,0.051965356,9/12/2013
affect,0.050188763,9/12/2013
support,0.044636909,9/12/2013
EPN,0.043748612,9/12/2013
Mara,0.03886298,9/12/2013
tell,0.037419498,9/12/2013
snte,0.037308461,9/12/2013
see,0.036753276,9/12/2013
Government,0.03619809,9/12/2013
To give,0.035864979,9/12/2013
National,0.034199423,9/12/2013
City,0.033200089,9/12/2013
VAT,0.032311792,9/12/2013
meeting,0.031756607,9/12/2013
power,0.031423495,9/12/2013
hacendar,0.031312458,9/12/2013
flood,0.03086831,9/12/2013
juarezviolentoo7,0.030646236,9/12/2013
Hurricane,0.030424162,9/12/2013
return,0.029313791,9/12/2013
Photo,0.029313791,9/12/2013
person,0.028758605,9/12/2013
follow,0.028647568,9/12/2013
fuerzacnte,0.028647568,9/12/2013
leave,0.027981346,9/12/2013
SME,0.027981346,9/12/2013
axis,0.027981346,9/12/2013
GDF,0.027093049,9/12/2013
Showdown,0.026870975,9/12/2013
duty,0.026537864,9/12/2013
Congress,0.026426827,9/12/2013
Street,0.025982678,9/12/2013
Revolution,0.025649567,9/12/2013
class,0.02553853,9/12/2013
agreement,0.025094382,9/12/2013
use,0.02476127,9/12/2013
new,0.02287364,9/12/2013
rain,0.022651566,9/12/2013
plant,0.022207417,9/12/2013
poor,0.021985343,9/12/2013
tropical,0.021763269,9/12/2013
Ana,0.021541195,9/12/2013
Tico,0.021541195,9/12/2013
Mexico,0.021541195,9/12/2013
take,0.021319121,9/12/2013
Monument,0.021208083,9/12/2013
food,0.020763935,9/12/2013
organize,0.020652898,9/12/2013
ask,0.020430824,9/12/2013
knowing,0.02020875,9/12/2013
hurt,0.02020875,9/12/2013
close,0.019986676,9/12/2013
Pet,0.019875638,9/12/2013
height,0.019542527,9/12/2013
unemployment,0.019320453,9/12/2013
Professor,0.019320453,9/12/2013
egg,0.019320453,9/12/2013
get,0.019098379,9/12/2013
coward,0.018876305,9/12/2013
Oaxaca,0.018876305,9/12/2013
Osorio,0.018432156,9/12/2013
face,0.018432156,9/12/2013
crime,0.018210082,9/12/2013
right,0.018210082,9/12/2013
tvnoticiasmx,0.018210082,9/12/2013
analozanom,0.018210082,9/12/2013
put,0.017988008,9/12/2013
Well,0.017765934,9/12/2013
Campeche,0.017765934,9/12/2013
clean,0.017765934,9/12/2013
To want,0.017321785,9/12/2013
anger,0.017210748,9/12/2013
Thursday,0.017099711,9/12/2013
zeal,0.016988674,9/12/2013
tumarilynmonroe,0.016988674,9/12/2013
Oklahoma,0.016988674,9/12/2013
Infinity,0.016988674,9/12/2013
short,0.016988674,9/12/2013
join,0.016877637,9/12/2013
grenadier,0.016655563,9/12/2013
Chong,0.016655563,9/12/2013
smell,0.016655563,9/12/2013
Rico,0.016211415,9/12/2013
South,0.016211415,9/12/2013
julioastillero,0.01598934,9/12/2013
law,0.01598934,9/12/2013
magisterial,0.015767266,9/12/2013
Center,0.015101044,9/12/2013
work,0.015101044,9/12/2013
Senate,0.015101044,9/12/2013
gobernaci,0.014990007,9/12/2013
Javier,0.01487897,9/12/2013
violence,0.01487897,9/12/2013
time,0.01487897,9/12/2013
Duarte,0.014656895,9/12/2013
der,0.014656895,9/12/2013
Chiapa,0.014434821,9/12/2013
Holy,0.014434821,9/12/2013
granader,0.014212747,9/12/2013
citizen,0.014212747,9/12/2013
continue,0.014212747,9/12/2013
village,0.014212747,9/12/2013
represi,0.013990673,9/12/2013
logo,0.013990673,9/12/2013
front,0.013768599,9/12/2013
inform,0.013768599,9/12/2013
Millennium,0.013657562,9/12/2013
Rez,0.013546525,9/12/2013
exit,0.013546525,9/12/2013
mexiconewsweek,0.013546525,9/12/2013
Member,0.013546525,9/12/2013
