key,value,date
CNTE,3392,9/12/13
master,2807,9/12/13
reform,2018,9/12/13
March,1967,9/12/13
manifestant,1452,9/12/13
protest,1122,9/12/13
Xico,1027,9/12/13
educational,904,9/12/13
Calo,738,9/12/13
Veracruz,666,9/12/13
estamoshartoscnte,648,9/12/13
SEGOB,616,9/12/13
Deputy,612,9/12/13
Polic,540,9/12/13
Storm,517,9/12/13
block,469,9/12/13
lock,468,9/12/13
affect,452,9/12/13
support,402,9/12/13
EPN,394,9/12/13
Mara,350,9/12/13
tell,337,9/12/13
snte,336,9/12/13
see,331,9/12/13
Government,326,9/12/13
To give,323,9/12/13
National,308,9/12/13
City,299,9/12/13
VAT,291,9/12/13
meeting,286,9/12/13
power,283,9/12/13
hacendar,282,9/12/13
flood,278,9/12/13
juarezviolentoo7,276,9/12/13
Hurricane,274,9/12/13
return,264,9/12/13
Photo,264,9/12/13
person,259,9/12/13
follow,258,9/12/13
fuerzacnte,258,9/12/13
leave,252,9/12/13
SME,252,9/12/13
axis,252,9/12/13
GDF,244,9/12/13
Showdown,242,9/12/13
duty,239,9/12/13
Congress,238,9/12/13
Street,234,9/12/13
Revolution,231,9/12/13
class,230,9/12/13
agreement,226,9/12/13
use,223,9/12/13
new,206,9/12/13
rain,204,9/12/13
plant,200,9/12/13
poor,198,9/12/13
tropical,196,9/12/13
Ana,194,9/12/13
Tico,194,9/12/13
Mexico,194,9/12/13
take,192,9/12/13
Monument,191,9/12/13
food,187,9/12/13
organize,186,9/12/13
ask,184,9/12/13
knowing,182,9/12/13
hurt,182,9/12/13
close,180,9/12/13
Pet,179,9/12/13
height,176,9/12/13
unemployment,174,9/12/13
Professor,174,9/12/13
egg,174,9/12/13
get,172,9/12/13
coward,170,9/12/13
Oaxaca,170,9/12/13
Osorio,166,9/12/13
face,166,9/12/13
crime,164,9/12/13
right,164,9/12/13
tvnoticiasmx,164,9/12/13
analozanom,164,9/12/13
put,162,9/12/13
Well,160,9/12/13
Campeche,160,9/12/13
clean,160,9/12/13
To want,156,9/12/13
anger,155,9/12/13
Thursday,154,9/12/13
zeal,153,9/12/13
tumarilynmonroe,153,9/12/13
Oklahoma,153,9/12/13
Infinity,153,9/12/13
short,153,9/12/13
join,152,9/12/13
grenadier,150,9/12/13
Chong,150,9/12/13
smell,150,9/12/13
Rico,146,9/12/13
South,146,9/12/13
julioastillero,144,9/12/13
law,144,9/12/13
magisterial,142,9/12/13
Center,136,9/12/13
work,136,9/12/13
Senate,136,9/12/13
gobernaci,135,9/12/13
Javier,134,9/12/13
violence,134,9/12/13
time,134,9/12/13
Duarte,132,9/12/13
der,132,9/12/13
Chiapa,130,9/12/13
Holy,130,9/12/13
granader,128,9/12/13
citizen,128,9/12/13
continue,128,9/12/13
village,128,9/12/13
represi,126,9/12/13
logo,126,9/12/13
front,124,9/12/13
inform,124,9/12/13
Millennium,123,9/12/13
Rez,122,9/12/13
exit,122,9/12/13
mexiconewsweek,122,9/12/13
Member,122,9/12/13
telenewsmex,122,9/12/13
PRI,120,9/12/13
sexeniomx,120,9/12/13
allow,120,9/12/13
movement,119,9/12/13
Zaro,119,9/12/13
image,118,9/12/13
Governor,118,9/12/13
Enter,118,9/12/13
Please,118,9/12/13
Nieto,117,9/12/13
Mexican,116,9/12/13
reformacom,112,9/12/13
lajornadaonline,112,9/12/13
find,110,9/12/13
Jalisco,110,9/12/13
pass,110,9/12/13
medium,110,9/12/13
education,110,9/12/13
ride,110,9/12/13
decide,108,9/12/13
read the FAQ.,108,9/12/13
cry,108,9/12/13
meet,108,9/12/13
Attorney,108,9/12/13
televise,106,9/12/13
revolucion3,106,9/12/13
social,106,9/12/13
dog,106,9/12/13
TICA,104,9/12/13
September,104,9/12/13
Federal,104,9/12/13
Remove,103,9/12/13
people,102,9/12/13
CNTE,3660,9/13/13
Calo,3424,9/13/13
Polic,3264,9/13/13
Federal,2846,9/13/13
manifestant,1733,9/13/13
master,1681,9/13/13
evict,1269,9/13/13
cntesequeda,892,9/13/13
protest,872,9/13/13
Showdown,870,9/13/13
Xico,860,9/13/13
axis,812,9/13/13
Photo,746,9/13/13
March,738,9/13/13
juarezviolentoo7,721,9/13/13
Storm,709,9/13/13
tropical,706,9/13/13
Central,683,9/13/13
Street,638,9/13/13
time,585,9/13/13
block,551,9/13/13
Millennium,529,9/13/13
Rico,509,9/13/13
Enter,493,9/13/13
City,482,9/13/13
Veracruz,461,9/13/13
Mexico,454,9/13/13
Ingrid,448,9/13/13
eviction,444,9/13/13
insurgent,427,9/13/13
South,415,9/13/13
tanqueta,409,9/13/13
Center,399,9/13/13
find,370,9/13/13
Government,346,9/13/13
Plaza,345,9/13/13
lajornadaonline,344,9/13/13
November,337,9/13/13
art,335,9/13/13
height,329,9/13/13
To give,316,9/13/13
depression,315,9/13/13
periph,313,9/13/13
close,312,9/13/13
teacher,312,9/13/13
Rez,307,9/13/13
tell,302,9/13/13
cnnmex,299,9/13/13
fuerzacnte,295,9/13/13
EPN,294,9/13/13
Ironing Board,294,9/13/13
To want,284,9/13/13
water,282,9/13/13
use,271,9/13/13
image,268,9/13/13
helic,256,9/13/13
ptero,254,9/13/13
power,251,9/13/13
see,249,9/13/13
take,233,9/13/13
person,231,9/13/13
Start,230,9/13/13
izazaga,228,9/13/13
get,227,9/13/13
flood,225,9/13/13
Police,223,9/13/13
exit,221,9/13/13
Remove,219,9/13/13
FICO,218,9/13/13
julioastillero,217,9/13/13
report post,217,9/13/13
capital,216,9/13/13
lock,212,9/13/13
public,209,9/13/13
gas,209,9/13/13
student,208,9/13/13
avoid,206,9/13/13
reform,202,9/13/13
Bello,200,9/13/13
North,196,9/13/13
PAC,194,9/13/13
National,191,9/13/13
grenadier,190,9/13/13
Group,190,9/13/13
camp,190,9/13/13
Professor,187,9/13/13
force,186,9/13/13
front,183,9/13/13
Pine,182,9/13/13
live,182,9/13/13
retreat,181,9/13/13
Hist,181,9/13/13
section,181,9/13/13
advance,179,9/13/13
duty,179,9/13/13
area,179,9/13/13
citizen,178,9/13/13
alertarevoluci,178,9/13/13
operating,176,9/13/13
Monument,172,9/13/13
support,171,9/13/13
roblesmaloof,169,9/13/13
follow,169,9/13/13
Revolution,169,9/13/13
fueracnte,169,9/13/13
revolucion3,168,9/13/13
der,167,9/13/13
Register,166,9/13/13
barricade,166,9/13/13
leave,164,9/13/13
step,164,9/13/13
Gulf,163,9/13/13
orientadorvial,157,9/13/13
aleda,156,9/13/13
plant,155,9/13/13
Oaxaca,155,9/13/13
envivo,154,9/13/13
stop,153,9/13/13
almomento,152,9/13/13
element,152,9/13/13
alert,150,9/13/13
term,149,9/13/13
right,148,9/13/13
Member,146,9/13/13
people,144,9/13/13
federicoarreola,144,9/13/13
pedroferriz,143,9/13/13
Constitution,143,9/13/13
rain,141,9/13/13
meet,141,9/13/13
reformacom,139,9/13/13
form,139,9/13/13
fly over,139,9/13/13
worker,139,9/13/13
SEGOB,138,9/13/13
circulation,137,9/13/13
represi,136,9/13/13
launch,135,9/13/13
hit,134,9/13/13
Madero,134,9/13/13
face,134,9/13/13
ask,132,9/13/13
first,132,9/13/13
wait,129,9/13/13
GDF,128,9/13/13
