key,value,date
Hurricane,0.614906832,11/1/2012
flood,0.49689441,11/1/2012
Storm,0.397515528,11/1/2012
go,0.273291925,11/1/2012
day,0.211180124,11/1/2012
front,0.198757764,11/1/2012
104A,0.192546584,11/1/2012
oshurac,0.192546584,11/1/2012
happy,0.167701863,11/1/2012
protest,0.161490683,11/1/2012
one,0.149068323,11/1/2012
Sandy,0.136645963,11/1/2012
abortion,0.124223602,11/1/2012
Make,0.111801242,11/1/2012
month,0.099378882,11/1/2012
people,0.099378882,11/1/2012
Holy,0.099378882,11/1/2012
Free,0.099378882,11/1/2012
strike,0.099378882,11/1/2012
infobae,0.099378882,11/1/2012
want,0.093167702,11/1/2012
easy,0.086956522,11/1/2012
Manifestant,0.086956522,11/1/2012
legal,0.086956522,11/1/2012
City,0.086956522,11/1/2012
year,0.086956522,11/1/2012
birthday,0.086956522,11/1/2012
locuracuerva,0.074534161,11/1/2012
leave,0.074534161,11/1/2012
continue,0.074534161,11/1/2012
Tweets,0.074534161,11/1/2012
luj,0.074534161,11/1/2012
water,0.074534161,11/1/2012
wait,0.074534161,11/1/2012
8N,0.074534161,11/1/2012
love,0.074534161,11/1/2012
Lawrence,0.074534161,11/1/2012
take,0.074534161,11/1/2012
reach,0.074534161,11/1/2012
rain,0.074534161,11/1/2012
Crow,0.074534161,11/1/2012
time,0.074534161,11/1/2012
thinking,0.062111801,11/1/2012
stop,0.062111801,11/1/2012
know,0.062111801,11/1/2012
neighborhood,0.062111801,11/1/2012
globe,0.062111801,11/1/2012
back,0.062111801,11/1/2012
first,0.062111801,11/1/2012
via,0.062111801,11/1/2012
Start,0.062111801,11/1/2012
problem,0.062111801,11/1/2012
play,0.062111801,11/1/2012
March,0.055900621,11/1/2012
bad,0.055900621,11/1/2012
cute,0.049689441,11/1/2012
Argentina,0.049689441,11/1/2012
explain,0.049689441,11/1/2012
Watch,0.049689441,11/1/2012
Grace,0.049689441,11/1/2012
good,0.049689441,11/1/2012
every,0.049689441,11/1/2012
affect,0.049689441,11/1/2012
River,0.049689441,11/1/2012
pass,0.049689441,11/1/2012
Save,0.049689441,11/1/2012
larroque,0.049689441,11/1/2012
Quilombo,0.049689441,11/1/2012
Government,0.049689441,11/1/2012
win,0.049689441,11/1/2012
vehicle,0.049689441,11/1/2012
breathe,0.049689441,11/1/2012
life,0.049689441,11/1/2012
gay,0.049689441,11/1/2012
fire,0.049689441,11/1/2012
excuse,0.049689441,11/1/2012
Club,0.049689441,11/1/2012
coming,0.049689441,11/1/2012
huracanignacio,0.049689441,11/1/2012
match,0.043478261,11/1/2012
spend,0.043478261,11/1/2012
ESPN,0.037267081,11/1/2012
saying,0.037267081,11/1/2012
Bonfiglio,0.037267081,11/1/2012
sleep,0.037267081,11/1/2012
follow,0.037267081,11/1/2012
verteeeee,0.037267081,11/1/2012
field,0.037267081,11/1/2012
solving,0.037267081,11/1/2012
send,0.037267081,11/1/2012
tail,0.037267081,11/1/2012
festejarlaao,0.037267081,11/1/2012
celebrate,0.037267081,11/1/2012
Despite,0.037267081,11/1/2012
lakra,0.037267081,11/1/2012
worse,0.037267081,11/1/2012
convecer,0.037267081,11/1/2012
break,0.037267081,11/1/2012
teamoflor,0.037267081,11/1/2012
part,0.037267081,11/1/2012
Spurs,0.037267081,11/1/2012
loss,0.037267081,11/1/2012
patience,0.037267081,11/1/2012
mirror,0.037267081,11/1/2012
jajajajajajajaj,0.037267081,11/1/2012
shocking,0.037267081,11/1/2012
ruarte,0.037267081,11/1/2012
Menem,0.037267081,11/1/2012
Mariotto,0.037267081,11/1/2012
another,0.037267081,11/1/2012
weight,0.037267081,11/1/2012
large,0.037267081,11/1/2012
repress,0.037267081,11/1/2012
ajajjaajajajajajo,0.037267081,11/1/2012
PD,0.037267081,11/1/2012
participation,0.037267081,11/1/2012
power,0.037267081,11/1/2012
Conti,0.037267081,11/1/2012
story,0.037267081,11/1/2012
undiadoscanchas,0.037267081,11/1/2012
opposition,0.037267081,11/1/2012
gstvalb,0.037267081,11/1/2012
plunger,0.037267081,11/1/2012
feeling,0.037267081,11/1/2012
launch,0.037267081,11/1/2012
todonoticia,0.037267081,11/1/2012
mobilization,0.037267081,11/1/2012
terrible,0.037267081,11/1/2012
prayer,0.037267081,11/1/2012
elpopularmedio,0.037267081,11/1/2012
House're,0.037267081,11/1/2012
seeing,0.037267081,11/1/2012
campaign,0.037267081,11/1/2012
feel,0.037267081,11/1/2012
square,0.037267081,11/1/2012
ring,0.037267081,11/1/2012
daniielmoron,0.037267081,11/1/2012
endangered,0.037267081,11/1/2012
use,0.037267081,11/1/2012
Monday,0.037267081,11/1/2012
Tiger,0.037267081,11/1/2012
station,0.037267081,11/1/2012
call,0.037267081,11/1/2012
treat,0.037267081,11/1/2012
preventable,0.037267081,11/1/2012
huracanoficial,0.037267081,11/1/2012
friend,0.037267081,11/1/2012
CD,0.037267081,11/1/2012
garridom11,0.037267081,11/1/2012
understand,0.037267081,11/1/2012
olavarr,0.037267081,11/1/2012
prendeyapaga,0.037267081,11/1/2012
peronismomasdelomismo,0.037267081,11/1/2012
Athletic,0.037267081,11/1/2012
car,0.037267081,11/1/2012
soyquemero,0.037267081,11/1/2012
aim,0.037267081,11/1/2012
overcome,0.037267081,11/1/2012
reflex,0.037267081,11/1/2012
listen,0.037267081,11/1/2012
welding,0.037267081,11/1/2012
beautiful,0.037267081,11/1/2012
laugh,0.037267081,11/1/2012
Web,0.037267081,11/1/2012
prensatemperley,0.037267081,11/1/2012
Search,0.037267081,11/1/2012
need,0.037267081,11/1/2012
woman,0.037267081,11/1/2012
dieebramuel10,0.037267081,11/1/2012
lunakerplunk,0.037267081,11/1/2012
offense,0.037267081,11/1/2012
Manu,0.037267081,11/1/2012
Nacho,0.037267081,11/1/2012
Christian,0.037267081,11/1/2012
Temperley,0.037267081,11/1/2012
sit,0.037267081,11/1/2012
damage,0.037267081,11/1/2012
stupidity,0.037267081,11/1/2012
unfortunate,0.037267081,11/1/2012
replenish,0.037267081,11/1/2012
SERINE,0.037267081,11/1/2012
sergiolapegue,0.037267081,11/1/2012
safe,0.037267081,11/1/2012
sebarile,0.037267081,11/1/2012
Corvalan,0.037267081,11/1/2012
bullying,0.037267081,11/1/2012
coup,0.037267081,11/1/2012
Coca,0.037267081,11/1/2012
catemperley,0.037267081,11/1/2012
CAFIERO,0.037267081,11/1/2012
matyasmon,0.037267081,11/1/2012
bloating,0.037267081,11/1/2012
vacant,0.037267081,11/1/2012
Street,0.037267081,11/1/2012
PCIA,0.037267081,11/1/2012
weigh,0.037267081,11/1/2012
barrel,0.037267081,11/1/2012
Storm,0.576923077,11/1/2012
flood,0.551282051,11/1/2012
Hurricane,0.435897436,11/2/2012
go,0.230769231,11/2/2012
Sandy,0.217948718,11/2/2012
protest,0.205128205,11/2/2012
8N,0.205128205,11/2/2012
one,0.179487179,11/2/2012
new,0.166666667,11/2/2012
day,0.153846154,11/2/2012
cris,0.128205128,11/2/2012
shelter,0.115384615,11/2/2012
Basilica,0.102564103,11/2/2012
abortion,0.102564103,11/2/2012
say,0.102564103,11/2/2012
animal,0.102564103,11/2/2012
tear,0.08974359,11/2/2012
good,0.08974359,11/2/2012
opposition,0.08974359,11/2/2012
via,0.08974359,11/2/2012
support,0.08974359,11/2/2012
victim,0.076923077,11/2/2012
March,0.076923077,11/2/2012
back,0.076923077,11/2/2012
Corina,0.076923077,11/2/2012
thing,0.076923077,11/2/2012
Make,0.076923077,11/2/2012
political,0.076923077,11/2/2012
work,0.076923077,11/2/2012
order,0.076923077,11/2/2012
Argentina,0.064102564,11/2/2012
Machar,0.064102564,11/2/2012
affect,0.064102564,11/2/2012
lost,0.064102564,11/2/2012
another,0.064102564,11/2/2012
year,0.064102564,11/2/2012
message,0.064102564,11/2/2012
us,0.064102564,11/2/2012
Police,0.064102564,11/2/2012
want,0.064102564,11/2/2012
reach,0.064102564,11/2/2012
time,0.064102564,11/2/2012
Paraguay,0.064102564,11/2/2012
hectare,0.051282051,11/2/2012
find,0.051282051,11/2/2012
going,0.051282051,11/2/2012
lanacioncom,0.051282051,11/2/2012
read,0.051282051,11/2/2012
