key,value,date
Hurricane,99,11/1/2012
flood,80,11/1/2012
Storm,64,11/1/2012
go,44,11/1/2012
day,34,11/1/2012
front,32,11/1/2012
104A,31,11/1/2012
oshurac,31,11/1/2012
happy,27,11/1/2012
protest,26,11/1/2012
one,24,11/1/2012
Sandy,22,11/1/2012
abortion,20,11/1/2012
Make,18,11/1/2012
month,16,11/1/2012
people,16,11/1/2012
Holy,16,11/1/2012
Free,16,11/1/2012
strike,16,11/1/2012
infobae,16,11/1/2012
want,15,11/1/2012
easy,14,11/1/2012
Manifestant,14,11/1/2012
legal,14,11/1/2012
City,14,11/1/2012
year,14,11/1/2012
birthday,14,11/1/2012
locuracuerva,12,11/1/2012
leave,12,11/1/2012
continue,12,11/1/2012
Tweets,12,11/1/2012
luj,12,11/1/2012
water,12,11/1/2012
wait,12,11/1/2012
8N,12,11/1/2012
love,12,11/1/2012
Lawrence,12,11/1/2012
take,12,11/1/2012
reach,12,11/1/2012
rain,12,11/1/2012
Crow,12,11/1/2012
time,12,11/1/2012
thinking,10,11/1/2012
stop,10,11/1/2012
know,10,11/1/2012
neighborhood,10,11/1/2012
globe,10,11/1/2012
back,10,11/1/2012
first,10,11/1/2012
via,10,11/1/2012
Start,10,11/1/2012
problem,10,11/1/2012
play,10,11/1/2012
March,9,11/1/2012
bad,9,11/1/2012
cute,8,11/1/2012
Argentina,8,11/1/2012
explain,8,11/1/2012
Watch,8,11/1/2012
Grace,8,11/1/2012
good,8,11/1/2012
every,8,11/1/2012
affect,8,11/1/2012
River,8,11/1/2012
pass,8,11/1/2012
Save,8,11/1/2012
larroque,8,11/1/2012
Quilombo,8,11/1/2012
Government,8,11/1/2012
win,8,11/1/2012
vehicle,8,11/1/2012
breathe,8,11/1/2012
life,8,11/1/2012
gay,8,11/1/2012
fire,8,11/1/2012
excuse,8,11/1/2012
Club,8,11/1/2012
coming,8,11/1/2012
huracanignacio,8,11/1/2012
match,7,11/1/2012
spend,7,11/1/2012
ESPN,6,11/1/2012
saying,6,11/1/2012
Bonfiglio,6,11/1/2012
sleep,6,11/1/2012
follow,6,11/1/2012
verteeeee,6,11/1/2012
field,6,11/1/2012
solving,6,11/1/2012
send,6,11/1/2012
tail,6,11/1/2012
festejarlaao,6,11/1/2012
celebrate,6,11/1/2012
Despite,6,11/1/2012
lakra,6,11/1/2012
worse,6,11/1/2012
convecer,6,11/1/2012
break,6,11/1/2012
teamoflor,6,11/1/2012
part,6,11/1/2012
Spurs,6,11/1/2012
loss,6,11/1/2012
patience,6,11/1/2012
mirror,6,11/1/2012
